Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked_Q,Embarked_S,Title,FamilySize
0,3,0,0.2711736617240512,1,0,0.014151057562208049,X,False,True,Mr,2
1,1,1,0.4722292033174164,1,0,0.13913573538264068,C,False,False,Mrs,2
1,3,1,0.32143754712239253,0,0,0.015468569817999833,X,False,True,Miss,1
1,1,1,0.4345312892686604,1,0,0.10364429745562033,C,False,True,Mrs,2
0,3,0,0.4345312892686604,0,0,0.015712553569072387,X,False,True,Mr,1
0,3,0,0.34656948982156316,0,0,0.01650950209357577,X,True,False,Mr,1
0,1,0,0.6732847449107816,0,0,0.10122885832000206,E,False,True,Mr,1
0,3,0,0.01985423473234481,3,1,0.04113566043083236,X,False,True,Master,5
1,3,1,0.33400351847197784,0,2,0.021730754366528396,X,False,True,Mrs,3
1,2,1,0.17064589092736868,1,0,0.058694292654020104,X,False,False,Mrs,2
1,3,1,0.04498617743151546,1,1,0.03259622914329302,G,False,True,Miss,3
1,1,1,0.723548630309123,0,0,0.051822148727810165,C,False,True,Miss,1
0,3,0,0.24604171902488062,0,0,0.015712553569072387,X,False,True,Mr,1
0,3,0,0.4847951746670017,1,5,0.06104473451835265,X,False,True,Mr,7
0,3,1,0.17064589092736868,0,0,0.015330377421392339,X,False,True,Miss,1
1,2,1,0.685850716260367,0,0,0.03122992013728673,X,False,True,Mrs,1
0,3,0,0.01985423473234481,4,1,0.05684821399990475,X,True,False,Master,6
1,2,0,0.34656948982156316,0,0,0.025374310111545468,X,False,True,Mr,1
0,3,1,0.38426740387031916,1,0,0.03513366015444757,X,False,True,Mrs,2
1,3,1,0.34656948982156316,0,0,0.014102260811993537,X,False,False,Mrs,1
0,2,0,0.4345312892686604,0,0,0.050748620223090936,X,False,True,Mr,1
1,2,0,0.4219653179190751,0,0,0.025374310111545468,D,False,True,Mr,1
1,3,1,0.18321186227695402,0,0,0.015671954672893913,X,True,False,Miss,1
1,1,0,0.34656948982156316,0,0,0.06929138530460494,A,False,True,Mr,1
0,3,1,0.09525006282985675,3,1,0.04113566043083236,X,False,True,Miss,5
1,3,1,0.4722292033174164,1,5,0.06126431989431795,X,False,True,Mrs,7
